id,name,description,price,product_type,quantity
1,Glowing Beauty Elixir,Natural soy wax candle,98.64,moisturizer,5
2,Youthful Essence Eye Cream,Organic cotton socks,95.87,moisturizer,5
3,Soothing Body Lotion,Handcrafted wooden picture frame,8.44,eyeliner,7
4,Revitalizing Hair Mask,Silk scarf with floral print,0.5,shampoo,6
5,Nourishing Scalp Treatment,Bluetooth wireless earbuds,43.79,moisturizer,12
6,Soothing Body Lotion,Silk scarf with floral print,7.29,shampoo,7
7,Soothing Body Lotion,Vintage leather messenger bag,57.81,shampoo,5
8,Glowing Beauty Elixir,Organic cotton socks,98.22,lipstick,11
9,Soothing Body Lotion,Natural soy wax candle,51.8,perfume,1
10,Revitalizing Hair Mask,Silk scarf with floral print,46.41,eyeliner,8
11,Luminous Glow Serum,Silk scarf with floral print,19.04,perfume,1
12,Silky Smooth Shampoo,Stainless steel water bottle,90.91,perfume,6
13,Radiant Skin Cream,Handcrafted wooden picture frame,43.93,eyeliner,8
14,Glowing Beauty Elixir,Soft cotton t-shirt,8.94,moisturizer,9
15,Soothing Body Lotion,Leather wallet with RFID protection,54.72,perfume,2
16,Nourishing Scalp Treatment,Organic cotton socks,5.94,moisturizer,4
17,Radiant Skin Cream,Stainless steel water bottle,62.7,eyeliner,6
18,Radiant Skin Cream,Silk scarf with floral print,0.32,moisturizer,6
19,Radiant Skin Cream,Bluetooth wireless earbuds,0.08,eyeliner,9
20,Radiant Skin Cream,Organic cotton socks,9.34,eyeliner,10
21,Revitalizing Hair Mask,Natural soy wax candle,57.87,lipstick,3
22,Luminous Glow Serum,Handcrafted wooden picture frame,80.73,eyeliner,7
23,Radiant Skin Cream,Silk scarf with floral print,13.29,moisturizer,3
24,Luminous Glow Serum,Silk scarf with floral print,81.86,moisturizer,8
25,Youthful Essence Eye Cream,Organic cotton socks,17.14,lipstick,11
26,Revitalizing Hair Mask,Organic cotton socks,23.23,lipstick,11
27,Youthful Essence Eye Cream,Natural soy wax candle,1.14,shampoo,11
28,Soothing Body Lotion,Bluetooth wireless earbuds,91.94,lipstick,1
29,Brightening Facial Cleanser,Soft cotton t-shirt,12.76,perfume,1
30,Brightening Facial Cleanser,Stainless steel water bottle,80.03,eyeliner,6
31,Brightening Facial Cleanser,Bluetooth wireless earbuds,91.51,shampoo,12
32,Radiant Skin Cream,Soft cotton t-shirt,43.36,shampoo,2
33,Glowing Beauty Elixir,Natural soy wax candle,27.94,shampoo,6
34,Luminous Glow Serum,Vintage leather messenger bag,42.43,lipstick,10
35,Radiant Skin Cream,Vintage leather messenger bag,5.52,shampoo,7
36,Glowing Beauty Elixir,Organic cotton socks,23.56,eyeliner,1
37,Glowing Beauty Elixir,Stainless steel water bottle,23.53,perfume,4
38,Glowing Beauty Elixir,Vintage leather messenger bag,68.35,moisturizer,9
39,Soothing Body Lotion,Vintage leather messenger bag,93.77,lipstick,2
40,Soothing Body Lotion,Bluetooth wireless earbuds,53.67,lipstick,6
41,Revitalizing Hair Mask,Soft cotton t-shirt,17.31,perfume,11
42,Soothing Body Lotion,Glass water pitcher with lid,81.68,shampoo,6
